Time,Name,PosX,PosY,VelX,VelY,Mass
0.000,Sun,0.000000,0.000000,0.000000,0.000000,1.000000e+00
0.000,Mercury,0.386332,0.016075,-0.066769,1.607476,1.659000e-07
0.000,Venus,0.722809,0.011761,-0.019129,1.176064,2.447000e-06
0.000,Earth,0.999900,0.010000,-0.010000,1.000000,3.003000e-06
0.000,Mars,1.523957,0.008100,-0.004305,0.810042,3.227000e-07
0.000,Jupiter,5.202996,0.004384,-0.000369,0.438403,9.545000e-04
0.000,Saturn,9.538999,0.003238,-0.000110,0.323779,2.856000e-04
0.000,Uranus,19.191000,0.002283,-0.000027,0.228271,4.365000e-05
0.000,Neptune,30.069000,0.001824,-0.000011,0.182365,5.127000e-05
0.000,Ast11,0.124766,2.361404,-0.681251,0.036174,1.681399e-10
0.000,Ast31,0.686741,-2.418776,0.592670,0.168346,9.446579e-10
0.000,Ast51,-2.828193,1.010844,-0.192211,-0.537844,8.739742e-10
0.000,Ast71,0.708778,2.517299,-0.600033,0.168971,9.558104e-10
0.000,Ast91,-2.326907,-0.157530,0.045716,-0.677310,6.367728e-10
0.000,Ast111,-0.281848,-2.360433,0.646965,-0.077267,2.377741e-10
0.000,Ast131,2.330158,-2.017593,0.360714,0.416698,3.999732e-10
0.000,Ast151,2.251205,-1.356199,0.323466,0.536841,8.683974e-10
0.000,Ast171,-2.974210,0.157843,-0.029533,-0.557974,4.209258e-10
0.000,Ast191,0.055908,2.337414,-0.622818,0.014728,2.046551e-10
1.000,Sun,0.000023,0.000003,0.000044,0.000006,1.000000e+00
1.000,Mercury,-0.176148,-0.353056,1.390098,-0.745413,1.659000e-07
1.000,Venus,-0.064176,0.714365,-1.181636,-0.095519,2.447000e-06
1.000,Earth,0.525659,0.845745,-0.851608,0.532156,3.003000e-06
1.000,Mars,1.307287,0.779330,-0.415028,0.696887,3.227000e-07
1.000,Jupiter,5.183991,0.442252,-0.037251,0.436831,9.545000e-04
1.000,Saturn,9.533314,0.326953,-0.011148,0.323591,2.856000e-04
1.000,Uranus,19.189598,0.230548,-0.002749,0.228255,4.365000e-05
1.000,Neptune,30.068429,0.184187,-0.001119,0.182361,5.127000e-05
1.000,Ast11,-0.552668,2.307646,-0.665290,-0.140951,1.681399e-10
1.000,Ast31,1.251500,-2.175667,0.531465,0.313996,9.446579e-10
1.000,Ast51,-2.966641,0.457513,-0.084872,-0.565145,8.739742e-10
1.000,Ast71,0.094418,2.613947,-0.622730,0.024870,9.558104e-10
1.000,Ast91,-2.189863,-0.819773,0.224570,-0.638921,6.367728e-10
1.000,Ast111,0.367664,-2.348543,0.644021,0.099150,2.377741e-10
1.000,Ast131,2.648757,-1.568519,0.275463,0.478314,3.999732e-10
1.000,Ast151,2.509433,-0.786703,0.191973,0.596312,8.683974e-10
1.000,Ast171,-2.946832,-0.399624,0.083079,-0.553474,4.209258e-10
1.000,Ast191,-0.560973,2.259993,-0.603007,-0.167114,2.046551e-10
2.000,Sun,0.000086,0.000014,0.000080,0.000017,1.000000e+00
2.000,Mercury,-0.198307,0.324733,-1.422392,-0.807415,1.659000e-07
2.000,Venus,-0.714690,-0.115126,0.168160,-1.162486,2.447000e-06
2.000,Earth,-0.436070,0.894921,-0.906033,-0.433556,3.003000e-06
2.000,Mars,0.728631,1.334567,-0.712001,0.390020,3.227000e-07
2.000,Jupiter,5.128214,0.876982,-0.073872,0.432160,9.545000e-04
2.000,Saturn,9.516596,0.650293,-0.022173,0.323032,2.856000e-04
2.000,Uranus,19.185475,0.458782,-0.005470,0.228206,4.365000e-05
2.000,Neptune,30.066750,0.366544,-0.002228,0.182351,5.127000e-05
2.000,Ast11,-1.189211,2.082498,-0.600942,-0.304092,1.681399e-10
2.000,Ast31,1.737459,-1.795594,0.436028,0.441139,9.446579e-10
2.000,Ast51,-2.995702,-0.112675,0.025896,-0.571648,8.739742e-10
